GSM85473	T118 U133p2
GSM85474	T134 U133p2
GSM85475	T140 U133p2
GSM85476	T141 U133p2
GSM85477	T146 U133p2
GSM85478	T147 U133p2
GSM85479	T149 U133p2
GSM85480	T133 U133p2
GSM85481	T21 U133p2
GSM85482	T56 U133p2
GSM85483	T116 U133p2
GSM85484	T144 U133p2
GSM85485	T129 U133p2
GSM85486	T143 U133p2
GSM85487	T38 U133p2
GSM85488	T123 U133p2
GSM85489	T137 U133p2
GSM85490	T130 U133p2
GSM85491	T151 U133p2
GSM85492	T152 U133p2
GSM85493	T37 U133p2
GSM85494	T183 U133p2
GSM85495	T117 U133p2
GSM85496	T161 U133p2
GSM85497	T30 U133p2
GSM85498	T84 U133p2
GSM85499	T115 U133p2
GSM85500	T44 U133p2
GSM85501	T81 U133p2
GSM85502	T50 U133p2
GSM85503	T4 U133p2
GSM85504	T175 U133p2
GSM85505	T178 U133p2
GSM85506	T41 U133p2
GSM85507	T73 U133p2
GSM85508	T92 U133p2
GSM85509	T74 U133p2
GSM85510	T162 U133p2
GSM85511	T145 U133p2
GSM85512	T119 U133p2
GSM85513	NB42 U133p2
GSM85514	NB58 U133p2
GSM85515	NB60 U133p2
GSM85516	NB64 U133p2
GSM85517	NB69 U133p2
GSM85518	NB83 U133p2
GSM85519	NB87 U133p2

