GSM85242	B115
GSM85243	B116
GSM85244	B117
GSM85245	B118
GSM85246	B119
GSM85247	B123
GSM85248	B129
GSM85249	B130
GSM85250	B133
GSM85251	B134
GSM85252	B137
GSM85253	B140
GSM85254	B141
GSM85255	B143
GSM85256	B144
GSM85257	B145
GSM85258	B146
GSM85259	B149
GSM85260	B151
GSM85261	B161
GSM85262	B175
GSM85263	B183
GSM85264	B21
GSM85265	B30
GSM85266	B37
GSM85267	B38
GSM85268	B41
GSM85269	B44
GSM85270	B4
GSM85271	B50
GSM85272	B56
GSM85273	B73
GSM85274	T74
GSM85275	B81
GSM85276	B84
GSM85277	B911
GSM85278	B92
GSM85279	T115
GSM85280	T116
GSM85281	T117
GSM85282	T118
GSM85283	T119
GSM85284	T123
GSM85285	T129
GSM85286	T130
GSM85287	T133
GSM85288	T134
GSM85289	T137
GSM85290	T140
GSM85291	T141
GSM85292	T143
GSM85293	T144
GSM85294	T145
GSM85295	T146
GSM85296	T147
GSM85297	T149
GSM85298	T151
GSM85299	T152
GSM85300	T161
GSM85301	T162
GSM85302	T175
GSM85303	T178
GSM85304	T183
GSM85305	T21
GSM85306	T30
GSM85307	T37
GSM85308	T38
GSM85309	T41
GSM85310	T44
GSM85311	T4
GSM85312	T50
GSM85313	T56
GSM85314	T636
GSM85315	T73
GSM85316	T81
GSM85317	T84
GSM85318	T911
GSM85319	T92
