"GSM87863" "GSM87887" "GSM87896" "GSM87934" "GSM87943" "GSM87853" "GSM87906" "GSM87920" "GSM87924" "GSM87858" "GSM87882" "GSM87891" "GSM87917" "GSM87929" "GSM87948" "GSM87868" "GSM87873" "GSM87901" "GSM87910" "GSM87938" "GSM87953" "GSM87864" "GSM87888" "GSM87897" "GSM87935" "GSM87944" "GSM87854" "GSM87878" "GSM87907" "GSM87921" "GSM87925" "GSM87957" "GSM87859" "GSM87883" "GSM87892" "GSM87930" "GSM87949" "GSM87869" "GSM87874" "GSM87902" "GSM87911" "GSM87939" "GSM87954" "GSM87865" "GSM87889" "GSM87898" "GSM87915" "GSM87936" "GSM87945" "GSM87855" "GSM87879" "GSM87922" "GSM87926" "GSM87958" "GSM87860" "GSM87884" "GSM87893" "GSM87918" "GSM87931" "GSM87950" "GSM87870" "GSM87875" "GSM87903" "GSM87912" "GSM87940" "GSM87866" "GSM87899" "GSM87937" "GSM87946" "GSM87856" "GSM87880" "GSM87908" "GSM87923" "GSM87927" "GSM87959" "GSM87861" "GSM87885" "GSM87894" "GSM87932" "GSM87951" "GSM87871" "GSM87876" "GSM87904" "GSM87913" "GSM87941" "GSM87955" "GSM87867" "GSM87890" "GSM87900" "GSM87916" "GSM87947" "GSM87857" "GSM87881" "GSM87909" "GSM87928" "GSM87960" "GSM87862" "GSM87886" "GSM87895" "GSM87919" "GSM87933" "GSM87952" "GSM87872" "GSM87877" "GSM87905" "GSM87914" "GSM87942" "GSM87956"
"73" "6.09613" "6.68133" "5.29674" "5.74787" "6.08643" "5.62683" "5.71024" "6.31687" "5.62742" "5.63068" "5.95577" "5.28266" "6.92386" "5.51686" "6.20029" "6.31631" "5.68952" "5.52871" "6.6852" "5.68708" "6.28878" "6.08709" "6.18798" "5.37692" "5.46295" "6.64588" "6.0892" "6.49414" "5.62657" "5.75304" "5.65061" "6.53999" "5.4236" "6.60875" "5.50838" "5.32486" "6.54238" "6.42241" "6.06201" "5.80147" "6.08064" "5.75143" "6.30864" "5.78272" "6.18675" "5.90457" "5.99215" "5.48421" "6.18369" "5.84716" "6.15385" "6.34948" "5.85217" "6.47471" "5.60117" "6.47426" "5.50733" "5.88651" "5.86463" "6.76244" "6.19917" "6.24958" "5.61382" "6.4436" "5.52369" "6.4264" "5.89537" "5.55667" "6.81766" "6.02966" "6.23112" "6.07408" "6.11224" "5.92117" "6.55656" "5.84013" "6.10797" "6.28071" "6.09164" "6.68528" "6.07916" "6.33577" "5.95519" "6.39683" "5.83898" "6.33425" "5.87254" "5.60857" "5.39465" "5.7719" "6.36368" "5.85239" "6.2948" "6.13469" "6.13693" "6.63778" "5.45715" "6.50775" "5.63988" "6.46454" "5.71023" "6.82573" "5.714" "6.41239" "6.01811" "5.79824" "6.17157" "6.21004"
"87" "7.79129" "7.84238" "7.50968" "7.5615" "7.91958" "7.52785" "7.37404" "7.91214" "7.42458" "7.23414" "7.56255" "7.178" "7.97967" "7.33372" "7.91193" "7.71506" "7.48909" "7.34206" "8.03992" "7.45969" "7.9013" "7.73231" "7.80819" "7.51431" "7.53942" "8.03621" "7.81305" "7.6566" "7.42277" "7.89233" "7.77925" "7.90106" "7.57713" "8.081" "7.31794" "7.34687" "8.24239" "7.9167" "7.44006" "7.66553" "7.80955" "7.46479" "8.02379" "7.65323" "8.18287" "7.54313" "7.70469" "7.65816" "8.01909" "7.47649" "7.76907" "7.77362" "7.63392" "8.30521" "7.59942" "8.07089" "7.41781" "7.57511" "7.46187" "8.38114" "7.55751" "7.87" "7.5189" "7.83724" "7.32409" "7.67862" "7.75246" "7.50141" "7.98149" "7.55612" "7.60369" "7.75278" "7.98165" "7.52584" "8.31413" "7.67862" "7.65273" "7.82567" "7.56976" "7.95614" "7.51796" "7.76461" "7.41639" "8.07986" "7.55421" "7.96879" "7.62822" "7.87554" "7.45029" "7.24039" "8.13679" "7.4667" "7.67583" "7.70681" "7.55923" "8.16476" "7.4576" "7.90839" "7.36041" "7.77895" "7.3975" "8.20983" "7.47194" "7.81836" "7.7965" "7.88722" "7.67862" "8.04829"
"198" "6.40079" "6.69578" "5.36801" "5.33874" "6.04474" "5.61446" "6.03382" "6.12538" "5.51271" "5.84465" "5.91804" "5.5088" "6.24888" "5.8783" "6.32261" "6.39087" "5.80819" "5.89182" "6.309" "5.30089" "5.94082" "6.51201" "6.29503" "5.61962" "5.88569" "6.05352" "5.96091" "6.1379" "5.61692" "5.97584" "5.79599" "6.64168" "5.9165" "6.83196" "5.54751" "5.3754" "6.47189" "6.60422" "5.36072" "6.00207" "5.3817" "5.81959" "6.07788" "6.28414" "6.48972" "6.15276" "5.89258" "5.76368" "5.90391" "6.09192" "6.24341" "5.66299" "5.50381" "6.41776" "5.99008" "6.43738" "5.5901" "6.02831" "5.78832" "6.04528" "6.32862" "5.92138" "5.82611" "6.1814" "5.67022" "6.36086" "5.6694" "5.8761" "6.40204" "5.977" "6.21478" "5.85179" "5.90287" "5.98466" "6.8628" "5.86346" "6.18029" "6.17017" "6.12639" "6.80345" "6.03779" "6.53068" "5.65125" "6.1134" "5.53311" "6.45875" "6.64593" "6.39723" "5.82946" "5.83046" "6.56052" "6.18708" "6.15374" "5.80482" "6.44227" "6.75102" "6.05035" "7.0752" "5.71949" "6.35611" "5.82063" "6.86927" "6.44625" "6.75442" "6.02623" "6.26554" "6.06829" "6.36975"
"276" "11.1062" "11.3981" "10.821" "11.6935" "11.0504" "10.8824" "10.9157" "11.4797" "10.9932" "10.8445" "11.056" "10.6672" "11.3304" "11.1594" "10.8937" "11.1065" "10.6826" "10.5563" "11.5409" "11.1766" "11.3937" "11.1036" "11.1844" "11.2635" "11.3112" "11.1589" "10.9823" "10.8808" "11.0494" "11.4091" "11.5525" "11.1433" "10.6229" "11.4002" "10.7789" "11.5602" "10.9051" "11.2537" "10.9876" "10.7939" "11.4536" "11.2919" "11.4545" "10.9998" "11.3054" "11.1819" "11.3675" "11.3355" "11.0277" "10.9424" "11.1441" "11.7748" "11.3174" "11.2563" "10.4297" "11.5342" "10.8714" "11.1913" "11.7103" "11" "11.213" "11.0303" "10.7284" "11.109" "11.2371" "11.0691" "11.2155" "11.195" "10.9971" "10.9446" "10.7946" "11.3361" "11.5654" "11.2435" "11.2751" "11.0346" "10.7367" "11.0049" "11.489" "10.6706" "10.8122" "10.8301" "10.9723" "11.1982" "11.2991" "11.2455" "10.9677" "11.2383" "11.078" "11.1296" "10.9542" "10.6093" "10.9096" "11.2799" "11.1498" "11.2172" "10.6421" "11.4758" "11.0053" "11.235" "11.485" "11.0287" "10.7839" "10.9093" "11.2584" "11.1498" "11.4591" "10.899"
"635" "4.67524" "4.73462" "5.44742" "4.96184" "4.97882" "4.92942" "4.68168" "4.75152" "5.16105" "5.17819" "4.7935" "5.33345" "4.65319" "5.05345" "4.65118" "4.57508" "5.21063" "5.13044" "4.67996" "5.03418" "4.39091" "4.68839" "4.79662" "5.22011" "5.01231" "4.6842" "4.8243" "5.00205" "5.1574" "4.99787" "4.95617" "4.81067" "5.17709" "4.91703" "5.03754" "4.96423" "4.76662" "4.5876" "5.26929" "4.85138" "4.82973" "5.22486" "4.88257" "4.67204" "4.79212" "4.85816" "4.8241" "5.20533" "4.915" "5.01849" "4.817" "4.59646" "4.92304" "4.55079" "5.19041" "4.60378" "4.94506" "4.99881" "5.00248" "4.73258" "4.82869" "4.68861" "4.77607" "4.78884" "5.25299" "4.64208" "4.65937" "5.02305" "4.94788" "4.56496" "4.97549" "4.80699" "5.04221" "4.89287" "4.78069" "5.046" "4.70481" "4.68946" "5.15593" "4.58639" "4.6638" "4.86796" "4.97413" "4.83829" "4.98406" "4.73543" "4.95341" "5.11824" "5.07713" "5.15148" "4.68983" "4.92589" "4.63992" "4.8949" "4.90996" "4.53131" "4.9467" "4.90826" "4.97873" "4.9043" "5.0606" "4.63431" "4.96284" "4.77148" "5.04332" "4.99661" "4.78006" "4.87997"
"636" "5.28735" "5.15169" "5.5097" "5.66402" "5.32234" "5.40767" "5.58556" "5.3191" "5.81315" "5.47123" "5.18236" "5.6357" "5.46757" "5.58971" "5.29854" "5.20327" "5.71192" "5.45473" "5.331" "5.61323" "5.12244" "5.05974" "5.3592" "5.29028" "5.89706" "5.15789" "5.30286" "5.25469" "5.7022" "5.63436" "5.62614" "5.00903" "5.44757" "5.03621" "5.48934" "5.60749" "5.12091" "5.0207" "5.79636" "5.26614" "5.67116" "5.49074" "5.18906" "5.40926" "5.29221" "5.15768" "5.02684" "5.88187" "5.10229" "5.24658" "5.37815" "5.76187" "5.31868" "5.23557" "5.38835" "5.10466" "5.54811" "5.71211" "5.61525" "5.2509" "5.18038" "5.53746" "5.56292" "5.27131" "5.68212" "5.1267" "5.29009" "5.66885" "5.22609" "5.21974" "5.52928" "5.56143" "5.354" "5.50921" "5.32541" "5.22336" "5.39738" "5.29248" "5.18494" "5.12861" "5.4601" "5.44511" "5.33647" "5.74924" "5.95352" "5.0438" "5.45826" "5.67463" "5.63899" "5.50022" "5.11432" "5.11795" "5.31415" "5.47798" "5.03357" "5.24881" "5.47308" "5.09594" "5.56424" "5.25827" "5.67391" "4.87356" "5.4012" "5.37815" "5.16805" "5.50754" "5.82587" "5.2096"
"637" "3.43889" "3.51995" "3.80715" "4.04363" "3.67504" "3.80931" "3.66568" "3.63852" "3.62549" "3.64533" "3.41819" "3.87365" "3.3612" "3.8142" "3.5489" "3.50613" "3.58744" "3.64569" "3.38278" "3.77917" "3.53051" "3.41796" "3.62672" "3.84072" "3.76175" "3.44557" "3.69435" "3.75456" "3.64445" "3.57683" "3.62639" "3.47155" "3.56756" "3.63653" "3.87332" "3.93927" "3.42171" "3.40395" "3.81321" "3.74594" "3.63835" "3.7646" "3.60318" "3.62665" "3.49967" "3.33586" "3.73077" "3.51621" "3.76026" "3.83993" "3.5157" "3.62998" "3.77344" "3.49496" "3.67108" "3.44732" "3.68452" "3.71502" "3.62678" "3.54328" "3.43908" "3.60964" "3.63002" "3.51606" "3.65146" "3.58569" "3.47639" "3.69161" "3.38259" "3.57589" "3.59355" "3.49046" "3.76085" "3.68262" "3.59085" "3.59413" "3.45991" "3.51031" "3.55854" "3.49033" "3.62755" "3.50617" "3.79652" "3.55169" "3.83783" "3.48734" "3.53782" "3.73772" "3.62678" "3.475" "3.69124" "3.27469" "3.67569" "3.49026" "3.50875" "3.46472" "3.46279" "3.59391" "3.6833" "3.52838" "3.78262" "3.50219" "3.86741" "3.64144" "3.52329" "3.64388" "3.81213" "3.54304"
"638" "2.91242" "2.74128" "2.90521" "2.99005" "2.95621" "2.95371" "2.80252" "3.03968" "2.93997" "2.87121" "2.73722" "3.1294" "2.91821" "2.95221" "2.90707" "2.67468" "3.02996" "2.88078" "2.8738" "2.92234" "2.83845" "2.79937" "2.66195" "2.97804" "3.20792" "2.93234" "2.81731" "3.01176" "3.11267" "2.97599" "3.07497" "2.90449" "2.84909" "3.02452" "2.8455" "2.94287" "2.91651" "2.75249" "2.96477" "3.11671" "2.81761" "3.19662" "2.95372" "2.81469" "2.78929" "2.91601" "3.03214" "3.04887" "2.93845" "2.82127" "2.92085" "3.10504" "2.91634" "2.92287" "2.92901" "2.90337" "2.88602" "2.94287" "3.00684" "2.77632" "2.68748" "2.9419" "2.81887" "2.8036" "2.96573" "2.90337" "2.93781" "2.95483" "2.76845" "2.80678" "2.98418" "2.99482" "2.86995" "2.96164" "2.96997" "2.89992" "2.98012" "2.76181" "2.87777" "2.91632" "2.86257" "2.88842" "2.90328" "3.19376" "3.20238" "2.81528" "3.14505" "2.85962" "2.89239" "2.83829" "2.8473" "2.92157" "2.91516" "3.062" "2.94287" "2.74578" "2.84014" "2.96523" "2.84935" "3.00598" "3.05467" "2.82996" "3.13179" "2.92761" "2.98754" "3.02579" "2.91632" "2.88094"
"735" "6.64949" "6.57692" "6.13745" "6.4325" "6.44213" "6.51109" "6.44442" "6.7714" "6.49056" "6.54334" "6.52752" "6.28827" "6.44399" "6.54446" "6.51194" "6.60552" "6.47977" "6.28567" "6.30726" "6.73993" "6.70818" "6.41286" "6.54983" "6.15625" "6.54892" "6.67641" "6.54132" "6.772" "6.57298" "6.4837" "5.99941" "6.42659" "6.13905" "6.12738" "6.17981" "6.44277" "6.41081" "6.48241" "6.72363" "6.43795" "6.51007" "6.67028" "6.58663" "6.63601" "6.28384" "6.3399" "6.59735" "6.39722" "6.53965" "6.60602" "6.51487" "6.99642" "6.66928" "6.66642" "6.38462" "6.27766" "6.60597" "6.34029" "6.53291" "6.51065" "6.444" "6.56692" "6.37507" "6.51065" "6.76387" "6.46134" "6.23472" "6.48241" "6.48241" "6.48874" "6.47976" "6.28256" "6.48731" "6.59763" "6.22806" "6.32868" "6.57352" "6.42502" "6.46478" "6.40829" "6.58789" "6.5818" "6.65674" "6.44801" "6.40009" "6.59509" "6.51026" "6.5119" "6.4152" "6.64276" "6.39145" "6.25143" "6.7562" "6.41414" "6.59184" "6.59474" "6.46134" "6.35297" "6.3804" "6.44503" "6.47984" "6.40753" "6.64904" "6.823" "6.35835" "6.56599" "6.29428" "6.57175"
"736" "6.26813" "6.15609" "6.716" "6.51503" "6.53613" "6.61028" "6.41791" "6.4113" "6.7338" "6.64546" "6.53867" "6.73916" "6.03871" "6.49415" "6.31828" "6.31827" "6.65081" "6.39314" "5.90846" "6.87218" "6.13552" "6.36929" "6.65243" "6.50223" "6.63848" "6.31434" "6.44541" "6.25199" "6.54583" "6.47881" "6.57426" "6.21947" "6.63704" "6.22137" "6.78814" "6.80783" "6.24522" "6.2266" "6.87201" "6.07867" "6.35717" "6.5875" "6.33583" "6.45126" "6.32205" "6.34138" "6.36444" "6.54181" "6.46206" "6.51701" "6.43891" "6.5618" "6.59882" "6.01597" "6.57413" "6.10125" "6.70139" "6.44536" "6.69299" "6.1918" "6.48264" "6.66578" "6.42494" "6.19923" "6.68638" "6.49757" "6.44536" "6.54721" "6.07084" "6.42095" "6.56997" "6.19722" "6.52332" "6.61515" "5.99149" "6.70576" "6.40793" "6.43465" "6.45713" "6.10031" "6.54907" "6.57629" "6.73688" "6.36919" "6.43735" "6.17283" "6.43735" "6.60873" "6.42843" "6.66531" "6.25365" "6.50298" "6.54351" "6.40625" "6.25296" "6.21824" "6.52031" "5.80726" "6.62039" "6.1687" "6.53294" "6.07704" "6.60128" "6.36984" "6.42734" "6.50226" "6.68404" "6.1034"
