Date_Submittted,Analyte_(Lead),Result_Lead_(PPB),Analyte_(Copper),Result_Copper_(PPB),Address,City,Zip_Code,Site_Code,Service_Line_Material,Sample_Location,Sentinel_Group_Number
3/31/2016,Lead,0,Copper,0,POLLY ST   ,FLINT,48505,FS0001,Copper,,4
3/30/2016,Lead,0,Copper,0,E CARPENTER RD  ,FLINT,48505,FS0002,Copper,BATHROOM,4
3/30/2016,Lead,0,Copper,0,E HOLBROOK AVE  ,FLINT,48505,FS0005,Copper,KITCHEN WITHOUT FILTER,4
3/30/2016,Lead,0,Copper,0,E LYNDON AVE  ,FLINT,48505,FS0013,Copper,KITCHEN WITHOUT FILTER,4
3/30/2016,Lead,0,Copper,0,INDUSTRIAL AVE   ,FLINT,48505,FS0014,Copper,,4
3/30/2016,Lead,0,Copper,0,BIRCHCREST DR   ,FLINT,48504,FS0027,Copper,KITCHEN,4
3/31/2016,Lead,0,Copper,170,CLIO RD   ,FLINT,48504,FS0029,Copper,BATHROOM,4
3/30/2016,Lead,0,Copper,70,KELLAR AVE   ,FLINT,48504,FS0030,Copper,KITCHEN,4
3/30/2016,Lead,0,Copper,130,FOREST HILL AVE  ,FLINT,48504,FS0035,Copper,,4
3/30/2016,Lead,0,Copper,0,W RANKIN ST  ,FLINT,48505,FS0037,Copper,KITCHEN WITHOUT FILTER,4
3/30/2016,Lead,0,Copper,0,W JAMIESON ST  ,FLINT,48505,FS0041,Copper,KITCHEN WITH FILTER,4
3/31/2016,Lead,0,Copper,70,RISEDORPH AVE   ,FLINT,48506,FS0056,Copper,KITCHEN WITHOUT FILTER,4
3/30/2016,Lead,0,Copper,0,WOODROW AVE   ,FLINT,48506,FS0057,Copper,KITCHEN,4
4/5/2016,Lead,0,Copper,0,WOODROW AVE   ,FLINT,48506,FS0057,Copper,KITCHEN,4
3/30/2016,Lead,0,Copper,60,CRAIG DR   ,FLINT,48506,FS0061,Copper,KITCHEN,4
3/30/2016,Lead,0,Copper,0,MALLERY ST   ,FLINT,48504,FS0097,Copper,BATHROOM,4
3/30/2016,Lead,0,Copper,0,W KEARSLEY ST  ,FLINT,48532,FS0110,Copper,KITCHEN,4
3/30/2016,Lead,0,Copper,80,KIRK AVE   ,FLINT,48503,FS0122,Copper,KITCHEN WITHOUT FILTER,4
3/31/2016,Lead,0,Copper,0,E LORADO AVE  ,FLINT,48505,FS0147,Copper,KITCHEN WITHOUT FILTER,4
3/31/2016,Lead,0,Copper,0,E PARKWAY AVE  ,FLINT,48505,FS0152,Copper,,4
3/30/2016,Lead,0,Copper,60,W YORK AVE  ,FLINT,48505,FS0154,Copper,BATHROOM WITHOUT FILTER,4
3/30/2016,Lead,0,Copper,0,W BUNDY AVE  ,FLINT,48505,FS0155,Copper,KITCHEN WITH FILTER,4
3/30/2016,Lead,0,Copper,0,CHANDLER AVE   ,FLINT,48503,FS0165,Copper,KITCHEN,4
3/31/2016,Lead,0,Copper,0,LYNN CT   ,FLINT,48503,FS0167,Copper,BATHROOM,4
3/30/2016,Lead,0,Copper,60,WARNER AVE   ,FLINT,48503,FS0168,Copper,KITCHEN,4
4/1/2016,Lead,0,Copper,0,GLOUCESTER ST   ,FLINT,48503,FS0173,Copper,BATHROOM,4
