Date_Submittted,Analyte_(Lead),Result_Lead_(PPB),Analyte_(Copper),Result_Copper_(PPB),Address,City,Zip_Code,Site_Code,Service_Line_Material,Sample_Location,Sentinel_Group_Number
3/2/2016,Lead,0,Copper,0,POLLY ST   ,FLINT,48505,FS0001,Copper,BATHROOM,2
3/2/2016,Lead,0,Copper,0,E CARPENTER RD  ,FLINT,48505,FS0002,Copper,BATHROOM,2
3/2/2016,Lead,0,Copper,70,E HOLBROOK AVE  ,FLINT,48505,FS0005,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,E HOME AVE  ,FLINT,48505,FS0007,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,E LYNDON AVE  ,FLINT,48505,FS0013,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,INDUSTRIAL AVE   ,FLINT,48505,FS0014,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,BIRCHCREST DR   ,FLINT,48504,FS0027,Copper,KITCHEN,2
3/3/2016,Lead,0,Copper,250,CLIO RD   ,FLINT,48504,FS0029,Copper,BATHROOM,2
3/4/2016,Lead,0,Copper,0,KELLAR AVE   ,FLINT,48504,FS0030,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,230,FOREST HILL AVE  ,FLINT,48504,FS0035,Copper,,2
3/2/2016,Lead,0,Copper,0,W RANKIN ST  ,FLINT,48505,FS0037,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,50,WYOMING AVE   ,FLINT,48506,FS0055,Copper,,2
3/2/2016,Lead,0,Copper,0,WOODROW AVE   ,FLINT,48506,FS0057,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,60,CRAIG DR   ,FLINT,48506,FS0061,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,120,N CENTER RD  ,FLINT,48506,FS0077,Copper,BATHROOM,2
3/2/2016,Lead,0,Copper,0,THOMAS ST   ,FLINT,48504,FS0096,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,80,MALLERY ST   ,FLINT,48504,FS0097,Copper,BATHROOM,2
3/2/2016,Lead,0,Copper,0,W KEARSLEY ST  ,FLINT,48532,FS0110,Copper,,2
3/2/2016,Lead,0,Copper,0,SALLY CT   ,FLINT,48505,FS0138,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,ORANGE LN   ,FLINT,48505,FS0139,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,E LORADO AVE  ,FLINT,48505,FS0147,Copper,BATHROOM,2
3/2/2016,Lead,0,Copper,0,E PARKWAY AVE  ,FLINT,48505,FS0152,Copper,BATHROOM,2
3/2/2016,Lead,0,Copper,0,W BUNDY AVE  ,FLINT,48505,FS0155,Copper,BATHROOM,2
3/3/2016,Lead,0,Copper,0,CHANDLER AVE   ,FLINT,48503,FS0165,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,70,BARRINGTON DR   ,FLINT,48503,FS0176,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,130,COMMONWEALTH AVE   ,FLINT,48503,FS0181,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,100,GIBSON ST   ,FLINT,48503,FS0189,Copper,,2
3/3/2016,Lead,0,Copper,0,INGLESIDE AVE   ,FLINT,48507,FS0243,Copper,,2
3/1/2016,Lead,0,Copper,0,ZIMMERMAN ST   ,FLINT,48522,FS0253,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,KNAPP AVE   ,FLINT,48503,FS0255,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,MILLER RD   ,FLINT,48503,FS0265,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,WOODCROFT AVE   ,FLINT,48503,FS0266,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,170,WOODCROFT AVE   ,FLINT,48503,FS0267,Copper,BATHROOM,2
3/2/2016,Lead,0,Copper,0,IDA AVE   ,FLINT,48503,FS0269,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,MAXINE ST   ,FLINT,48503,FS0283,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,E COURT ST  ,FLINT,48503,FS0293,Copper,KITCHEN,2
3/2/2016,Lead,0,Copper,0,E COURT ST  ,FLINT,48503,FS0302,Copper,KITCHEN,2
3/3/2016,Lead,0,Copper,0,E COURT ST  ,FLINT,48503,FS0305,Copper,,2
