Group Number,Date_Submittted,Analyte_(Lead),Result_Lead_(PPB),Analyte_(Copper),Result_Copper_(PPB),Address,City,Zip_Code,Site_Code,Service_Line_Material,Sample_Location
1,2/16/2016,Lead,0,Copper,0,POLLY ST   ,FLINT,48505,FS0001,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,E CARPENTER RD  ,FLINT,48505,FS0002,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,E HOLBROOK AVE  ,FLINT,48505,FS0005,Copper,BATHROOM
1,2/16/2016,Lead,0,Copper,0,E HOME AVE  ,FLINT,48505,FS0007,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,E LYNDON AVE  ,FLINT,48505,FS0013,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,INDUSTRIAL AVE   ,FLINT,48505,FS0014,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,BIRCHCREST DR   ,FLINT,48504,FS0027,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,280,CLIO RD   ,FLINT,48504,FS0029,Copper,BATHROOM
1,2/16/2016,Lead,0,Copper,0,KELLAR AVE   ,FLINT,48504,FS0030,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,W RANKIN ST  ,FLINT,48505,FS0037,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,W JAMIESON ST  ,FLINT,48505,FS0041,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,WYOMING AVE   ,FLINT,48506,FS0055,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,WOODROW AVE   ,FLINT,48506,FS0057,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,60,CRAIG DR   ,FLINT,48506,FS0061,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,N CENTER RD  ,FLINT,48506,FS0077,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,E LORADO AVE  ,FLINT,48505,FS0147,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,70,E PARKWAY AVE  ,FLINT,48505,FS0152,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,W YORK AVE  ,FLINT,48505,FS0154,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,W BUNDY AVE  ,FLINT,48505,FS0155,Copper,BATHROOM
1,2/16/2016,Lead,0,Copper,0,CHANDLER AVE   ,FLINT,48503,FS0165,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,70,BARRINGTON DR   ,FLINT,48503,FS0176,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,S CUMBERLAND ST  ,FLINT,48503,FS0180,Copper,BATHROOM
1,2/26/2016,Lead,0,Copper,0,S CUMBERLAND ST  ,FLINT,48503,FS0180,Copper,BATHROOM
1,2/16/2016,Lead,0,Copper,160,GIBSON ST   ,FLINT,48503,FS0189,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,WESTWOOD PKWY   ,FLINT,48503,FS0212,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,KNAPP AVE   ,FLINT,48503,FS0255,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,CORUNNA RD   ,FLINT,48503,FS0257,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,GAINEY AVE   ,FLINT,48503,FS0263,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,MILLER RD   ,FLINT,48503,FS0265,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,WOODCROFT AVE   ,FLINT,48503,FS0266,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,190,WOODCROFT AVE   ,FLINT,48503,FS0267,Copper,BATHROOM
1,2/16/2016,Lead,0,Copper,0,MAXINE ST   ,FLINT,48503,FS0283,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,E COURT ST  ,FLINT,48503,FS0293,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,S FRANKLIN AVE  ,FLINT,48503,FS0298,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,WYOMING AVE   ,FLINT,48506,FS0326,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,ILLINOIS AVE   ,FLINT,48506,FS0349,Copper,KITCHEN
1,2/22/2016,Lead,0,Copper,0,BRANCH RD   ,FLINT,48506,FS0351,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,50,CHURCHILL AVE   ,FLINT,48506,FS0353,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,90,CLEMENT ST   ,FLINT,48504,FS0355,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,100,SLOAN ST   ,FLINT,48504,FS0363,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,RASKOB ST   ,FLINT,48504,FS0364,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,140,N CHEVROLET AVE  ,FLINT,48504,FS0367,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,0,ASYLUM ST   ,FLINT,48503,FS0395,Copper,BATHROOM
1,2/16/2016,Lead,0,Copper,0,MACKIN RD   ,FLINT,48503,FS0398,Copper,
1,2/25/2016,Lead,0,Copper,80,PROSPECT ST   ,FLINT,48504,FS0403,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,0,WINONA ST   ,FLINT,48504,FS0416,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,140,BARTH ST   ,FLINT,48504,FS0417,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,COPEMAN BLVD   ,FLINT,48504,FS0424,Copper,
1,2/24/2016,Lead,0,Copper,0,WOLCOTT ST   ,FLINT,48504,FS0518,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,COPEMAN BLVD   ,FLINT,48504,FS0538,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,FERNDALE PL   ,FLINT,48503,FS0545,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,60,WINONA ST   ,FLINT,48504,FS0562,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,KELLAR AVE   ,FLINT,48504,FS0564,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,SUNSET DR   ,FLINT,48503,FS0576,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,WINONA ST   ,FLINT,48504,FS0579,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,100,WINONA ST   ,FLINT,48504,FS0583,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,ELDORADO DR   ,FLINT,48504,FS0585,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,WINONA ST   ,FLINT,48504,FS0589,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,0,BARTH ST   ,FLINT,48504,FS0597,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,WINONA ST   ,FLINT,48504,FS0606,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,BRENTWOOD DR   ,FLINT,48503,FS0629,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,80,PENCOMBE PL   ,FLINT,48503,FS0648,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,60,PENCOMBE PL   ,FLINT,48503,FS0674,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,WINONA ST   ,FLINT,48504,FS0675,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,110,PENCOMBE PL   ,FLINT,48503,FS0689,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,HELBER ST   ,FLINT,48504,FS0707,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,HELBER ST   ,FLINT,48504,FS0711,Copper,BATHROOM
1,2/24/2016,Lead,0,Copper,0,BEGOLE ST   ,FLINT,48504,FS0718,Copper,KITCHEN
